营部,连队,销量,市占率
泰山大营,黑龙江连,376,7%
泰山大营,吉林连,408,10%
泰山大营,辽东连,410,14%
泰山大营,蒙辽连,471,12%
泰山大营,山东连,1211,9%
泰山大营,直隶连,1426,12%
中原大营,冀西连,985,11%
中原大营,晋榆连,322,6%
中原大营,洛阳连,412,12%
中原大营,蒙古连,238,10%
中原大营,皖北连,621,15%
中原大营,豫北加强连,959,13%
中原大营,中原直辖连,913,30%
东南大营,渤海港口连,803,24%
向西大营,关陇连,151,8%
向西大营,河西哈密连,561,15%
向西大营,宁夏连,929,16%
向西大营,新疆连,1729,45%
东南大营,福建连,387,21%
东南大营,广深厦漳连,3433,60%
东南大营,上海KD、CD连,741,76%
东南大营,苏南连,2140,61%
东南大营,运河连,1570,23%
东南大营,浙江KD、CD连,4538,55%
长江大营,安徽连,364,16%
长江大营,江西连,1107,19%
长江大营,荆州连,752,18%
长江大营,重庆加强连,303,12%
西南大营,白酒连,438,9%
西南大营,成都连,987,14%
西南大营,广西加强连,1255,19%
西南大营,烟草连,650,26%
西南大营,粤湘连,1306,21%
