营部,区划连队,城市,市场容量,圆点连队,销量,市占率,人数,26年年度预算
,,大庆市,389.0,,,,,
,,大兴安岭地区,17.0,,,,,
,,哈尔滨市,1122.0,,,,,
,,鹤岗市,15.0,,,,,
,,黑河市,288.0,,,,,
,,鸡西市,312.0,,,,,
,,佳木斯市,862.0,,,,,
,,牡丹江市,848.0,,,,,
,,七台河市,124.0,,,,,
,,齐齐哈尔市,442.0,,,,,
,,双鸭山市,244.0,,,,,
,,绥化市,1577.0,黑龙江连,55.0,3%,3人,500
,,伊春市,76.0,,,,,
,,白城市,187.0,,,,,
,,白山市,102.0,,,,,
,,吉林市,300.0,,,,,
,,辽源市,130.0,,,,,
,,四平市,360.0,,,,,
,,松原市,1151.0,,,,,
,,通化市,119.0,,,,,
,,延边朝鲜族自治州,264.0,,,,,
,,长春市,2421.0,吉林连,101.0,7%,3人,522
,,鞍山市,836.0,,,,,
,,本溪市,127.0,,,,,
,,大连市,390.0,,,,,
,,丹东市,201.0,,,,,
,,抚顺市,133.0,,,,,
,,辽阳市,224.0,,,,,
,,营口市,1997.0,辽东连,147.0,11%,4人,672
,,朝阳市,437.0,,,,,
,,赤峰市,781.0,,,,,
,,阜新市,141.0,,,,,
,,呼伦贝尔市,349.0,,,,,
,,葫芦岛市,672.0,,,,,
,,锦州市,575.0,,,,,
,,盘锦市,130.0,,,,,
,,沈阳市,606.0,蒙辽连,103.0,7%,6人,600
,,铁岭市,243.0,,,,,
,,通辽市,366.0,,,,,
,,锡林郭勒盟,144.0,,,,,
,,兴安盟,250.0,,,,,
,,菏泽市,2762.0,,,,,
,,济南市,905.0,,,,,
,,济宁市,6412.0,山东连,456.0,7%,11人,2209
,,聊城市,3016.0,,,,,
,,青岛市,1019.0,渤海港口连,708.0,44%,6人,2200
,,泰安市,1010.0,,,,,
,,威海市,278.0,,,,,
,,潍坊市,1546.0,,,,,
,,烟台市,793.0,,,,,
,,淄博市,633.0,,,,,
,,北京市,1536.0,,,,,
,,滨州市,878.0,,,,,
,,沧州市,1475.0,,,,,
,,承德市,931.0,,,,,
,,德州市,888.0,,,,,
,,东营市,214.0,,,,,
,,衡水市,266.0,,,,,
,,廊坊市,198.0,,,,,
,,秦皇岛市,664.0,,,,,
,,唐山市,6748.0,直隶连,331.0,5%,13人,1878
,,天津市,1930.0,,,,,
,,张家口市,1045.0,,,,,
,,保定市,759.0,,,,,
,,邯郸市,1981.0,,,,,
,,石家庄市,6744.0,冀西连,228.0,5%,5人,1050
,,邢台市,2739.0,,,,,
,,大同市,2185.0,,,,,
,,晋中市,1322.0,,,,,
,,吕梁市,1179.0,,,,,
,,朔州市,867.0,,,,,
,,太原市,799.0,晋榆连,88.0,3%,6人,750
,,忻州市,869.0,,,,,
,,延安市,106.0,,,,,
,,阳泉市,492.0,,,,,
,,榆林市,782.0,,,,,
