营部,区划连队,城市,市场容量,圆点连队,销量,市占率,人数,26年年度预算
东南大营,渤海港口连,大连市,390.0,,,,,
东南大营,渤海港口连,青岛市,1019.0,渤海港口连,708.0,44%,6人,2200
东南大营,渤海港口连,天津市,1930.0,,,,,
东南大营,渤海港口连,大连市,208.0,,,,,
东南大营,渤海港口连,青岛市,2515.0,渤海港口连,708.0,44%,6人,2200
东南大营,渤海港口连,天津市,1231.0,,,,,
东南大营,福建连,福州市,601.0,福建连,88.0,12%,3人,890
东南大营,福建连,龙岩市,436.0,,,,,
东南大营,福建连,南平市,421.0,,,,,
东南大营,福建连,宁德市,285.0,,,,,
东南大营,福建连,莆田市,38.0,,,,,
东南大营,福建连,泉州市,355.0,,,,,
东南大营,福建连,三明市,398.0,,,,,
东南大营,广深厦漳连,潮州市,38.0,,,,,
东南大营,广深厦漳连,东莞市,53.0,,,,,
东南大营,广深厦漳连,广州市,1412.0,,,,,
东南大营,广深厦漳连,惠州市,18.0,,,,,
东南大营,广深厦漳连,揭阳市,31.0,,,,,
东南大营,广深厦漳连,厦门市,1608.0,,,,,
东南大营,广深厦漳连,汕头市,35.0,,,,,
东南大营,广深厦漳连,汕尾市,4.0,,,,,
东南大营,广深厦漳连,深圳市,2585.0,广深厦漳连,923.0,42%,10人,3200
东南大营,广深厦漳连,漳州市,858.0,,,,,
东南大营,上海KD、CD连,上海市,1462.0,,,,,
东南大营,苏南连,常州市,491.0,,,,,
东南大营,苏南连,南京市,1562.0,苏南连,659.0,35%,7人,2000
东南大营,苏南连,南通市,455.0,,,,,
东南大营,苏南连,苏州市,1388.0,,,,,
东南大营,苏南连,泰州市,170.0,,,,,
东南大营,苏南连,无锡市,462.0,,,,,
东南大营,苏南连,扬州市,826.0,,,,,
东南大营,苏南连,镇江市,133.0,,,,,
东南大营,运河连,淮安市,767.0,,,,,
东南大营,运河连,连云港市,1470.0,,,,,
东南大营,运河连,临沂市,2228.0,,,,,
东南大营,运河连,日照市,576.0,,,,,
东南大营,运河连,宿迁市,767.0,,,,,
东南大营,运河连,徐州市,1610.0,运河连,580.0,16%,11人,2200
东南大营,运河连,盐城市,849.0,,,,,
东南大营,运河连,枣庄市,905.0,,,,,
东南大营,浙江KD、CD连,杭州市,1828.0,,,,,
东南大营,浙江KD、CD连,湖州市,168.0,,,,,
东南大营,浙江KD、CD连,嘉兴市,609.0,,,,,
东南大营,浙江KD、CD连,金华市,587.0,,,,,
东南大营,浙江KD、CD连,丽水市,177.0,,,,,
东南大营,浙江KD、CD连,宁波市,3120.0,,,,,
东南大营,浙江KD、CD连,衢州市,2278.0,,,,,
东南大营,浙江KD、CD连,绍兴市,304.0,,,,,
东南大营,浙江KD、CD连,台州市,502.0,,,,,
东南大营,浙江KD、CD连,温州市,219.0,,,,,
东南大营,浙江KD、CD连,舟山市,81.0,,,,,
东南大营,广深厦漳连,潮州市,2.0,,,,,
东南大营,广深厦漳连,东莞市,101.0,,,,,
东南大营,广深厦漳连,广州市,300.0,,,,,
东南大营,广深厦漳连,惠州市,393.0,,,,,
东南大营,广深厦漳连,揭阳市,87.0,,,,,
东南大营,广深厦漳连,汕头市,50.0,,,,,
东南大营,广深厦漳连,汕尾市,17.0,,,,,
东南大营,广深厦漳连,深圳市,409.0,广深厦漳连,923.0,42%,10人,3200
