营部,区划连队,城市,市场容量,圆点连队,销量,市占率,人数
东南大营,浙江KD、CD连,宁波市,2756.0,,,,
东南大营,广深厦漳连,深圳市,2732.0,广深厦漳连,3433.0,60%,10人
东南大营,渤海港口连,青岛市,3256.0,渤海港口连,803.0,24%,6人
东南大营,浙江KD、CD连,衢州市,2205.0,,,,
东南大营,浙江KD、CD连,杭州市,1616.0,,,,
东南大营,运河连,临沂市,1513.0,,,,
东南大营,广深厦漳连,厦门市,1410.0,,,,
东南大营,广深厦漳连,广州市,1353.0,,,,
东南大营,运河连,徐州市,1327.0,运河连,1570.0,23%,11人
东南大营,渤海港口连,天津市,1300.0,,,,
东南大营,渤海港口连,天津市,1101.0,,,,
东南大营,运河连,连云港市,1036.0,,,,
东南大营,苏南连,苏州市,1005.0,,,,
东南大营,上海KD、CD连,上海市,977.0,,,,
东南大营,苏南连,南京市,958.0,苏南连,2140.0,61%,7人
东南大营,运河连,枣庄市,810.0,,,,
东南大营,运河连,盐城市,661.0,,,,
东南大营,运河连,淮安市,627.0,,,,
东南大营,苏南连,扬州市,616.0,,,,
东南大营,运河连,日照市,482.0,,,,
东南大营,福建连,福州市,449.0,福建连,387.0,21%,3人
东南大营,运河连,宿迁市,441.0,,,,
东南大营,浙江KD、CD连,金华市,436.0,,,,
东南大营,浙江KD、CD连,嘉兴市,403.0,,,,
东南大营,广深厦漳连,惠州市,359.0,,,,
东南大营,福建连,龙岩市,338.0,,,,
东南大营,广深厦漳连,漳州市,324.0,,,,
东南大营,苏南连,常州市,315.0,,,,
东南大营,浙江KD、CD连,台州市,313.0,,,,
东南大营,渤海港口连,大连市,297.0,,,,
东南大营,福建连,南平市,291.0,,,,
东南大营,福建连,三明市,265.0,,,,
东南大营,福建连,泉州市,250.0,,,,
东南大营,福建连,宁德市,229.0,,,,
东南大营,苏南连,南通市,223.0,,,,
东南大营,渤海港口连,大连市,207.0,,,,
东南大营,广深厦漳连,广州市,175.0,,,,
东南大营,浙江KD、CD连,绍兴市,173.0,,,,
东南大营,苏南连,无锡市,166.0,,,,
东南大营,浙江KD、CD连,丽水市,154.0,,,,
东南大营,苏南连,泰州市,116.0,,,,
东南大营,浙江KD、CD连,湖州市,98.0,,,,
东南大营,苏南连,镇江市,89.0,,,,
东南大营,浙江KD、CD连,温州市,68.0,,,,
东南大营,广深厦漳连,东莞市,111.0,,,,
东南大营,浙江KD、CD连,舟山市,56.0,,,,
东南大营,广深厦漳连,揭阳市,31.0,,,,
东南大营,福建连,莆田市,28.0,,,,
东南大营,广深厦漳连,汕头市,27.0,,,,
东南大营,广深厦漳连,汕头市,21.0,,,,
东南大营,广深厦漳连,惠州市,13.0,,,,
东南大营,广深厦漳连,揭阳市,7.0,,,,
东南大营,广深厦漳连,汕尾市,5.0,,,,
东南大营,广深厦漳连,汕尾市,1.0,,,,
