营部,区划连队,城市,市场容量,圆点连队,销量,市占率,人数,26年年度预算
中原大营,冀西连,保定市,759.0,,,,,
中原大营,冀西连,邯郸市,1981.0,,,,,
中原大营,冀西连,石家庄市,6744.0,冀西连,228.0,5%,5人,1050
中原大营,冀西连,邢台市,2739.0,,,,,
中原大营,冀西连,大同市,2185.0,,,,,
中原大营,冀西连,晋中市,1322.0,,,,,
中原大营,冀西连,吕梁市,1179.0,,,,,
中原大营,冀西连,朔州市,867.0,,,,,
中原大营,冀西连,太原市,799.0,,,,,
中原大营,冀西连,忻州市,869.0,,,,,
中原大营,冀西连,延安市,106.0,,,,,
中原大营,冀西连,阳泉市,492.0,,,,,
中原大营,冀西连,榆林市,782.0,,,,,
中原大营,洛阳连,临汾市,640.0,,,,,
中原大营,洛阳连,洛阳市,518.0,洛阳连,212.0,12%,6人,750
中原大营,洛阳连,南阳市,836.0,,,,,
中原大营,洛阳连,三门峡市,450.0,,,,,
中原大营,洛阳连,十堰市,81.0,,,,,
中原大营,洛阳连,随州市,90.0,,,,,
中原大营,洛阳连,襄阳市,627.0,,,,,
中原大营,洛阳连,运城市,1198.0,,,,,
中原大营,蒙古连,阿拉善盟,30.0,,,,,
中原大营,蒙古连,巴彦淖尔市,729.0,,,,,
中原大营,蒙古连,包头市,579.0,蒙古连,174.0,17%,6人,1650
中原大营,蒙古连,鄂尔多斯市,699.0,,,,,
中原大营,蒙古连,呼和浩特市,404.0,,,,,
中原大营,蒙古连,乌海市,363.0,,,,,
中原大营,蒙古连,乌兰察布市,238.0,,,,,
中原大营,皖北连,蚌埠市,1983.0,,,,,
中原大营,皖北连,亳州市,609.0,,,,,
中原大营,皖北连,阜阳市,872.0,皖北连,188.0,10%,6人,1000
中原大营,皖北连,淮北市,581.0,,,,,
中原大营,皖北连,淮南市,267.0,,,,,
中原大营,皖北连,六安市,602.0,,,,,
中原大营,皖北连,宿州市,893.0,,,,,
中原大营,皖北连,信阳市,57.0,,,,,
中原大营,豫北加强连,安阳市,985.0,,,,,
中原大营,豫北加强连,鹤壁市,364.0,,,,,
中原大营,豫北加强连,济源市,227.0,,,,,
中原大营,豫北加强连,焦作市,2397.0,,,,,
中原大营,豫北加强连,晋城市,1066.0,,,,,
中原大营,豫北加强连,开封市,300.0,,,,,
中原大营,豫北加强连,濮阳市,842.0,,,,,
中原大营,豫北加强连,新乡市,919.0,,,,,
中原大营,豫北加强连,长治市,591.0,,,,,
中原大营,豫北加强连,郑州市,1356.0,豫北加强连,616.0,18%,9人,1650
中原大营,中原直辖连,漯河市,499.0,,,,,
中原大营,中原直辖连,平顶山市,391.0,,,,,
中原大营,中原直辖连,商丘市,1124.0,,,,,
中原大营,中原直辖连,许昌市,354.0,,,,,
中原大营,中原直辖连,周口市,1439.0,,,,,
中原大营,中原直辖连,驻马店市,501.0,中原直辖连,185.0,16%,8人,1350
