营部,区划连队,城市,市场容量,圆点连队,销量,市占率,人数
中原大营,冀西连,石家庄市,5580.0,冀西连,985.0,11%,5人
中原大营,冀西连,邢台市,1944.0,,,,
中原大营,豫北加强连,焦作市,1908.0,,,,
中原大营,冀西连,邯郸市,1385.0,,,,
中原大营,皖北连,蚌埠市,1368.0,,,,
中原大营,豫北加强连,郑州市,1169.0,豫北加强连,959.0,13%,9人
中原大营,冀西连,吕梁市,1085.0,,,,
中原大营,洛阳连,运城市,964.0,,,,
中原大营,中原直辖连,商丘市,955.0,,,,
中原大营,冀西连,晋中市,833.0,,,,
中原大营,冀西连,大同市,796.0,,,,
中原大营,冀西连,朔州市,789.0,,,,
中原大营,豫北加强连,安阳市,778.0,,,,
中原大营,豫北加强连,濮阳市,761.0,,,,
中原大营,豫北加强连,新乡市,721.0,,,,
中原大营,皖北连,宿州市,720.0,,,,
中原大营,中原直辖连,周口市,713.0,,,,
中原大营,皖北连,阜阳市,703.0,皖北连,621.0,15%,6人
中原大营,洛阳连,南阳市,694.0,,,,
中原大营,冀西连,榆林市,632.0,,,,
中原大营,豫北加强连,晋城市,575.0,,,,
中原大营,蒙古连,巴彦淖尔市,561.0,,,,
中原大营,冀西连,太原市,558.0,,,,
中原大营,蒙古连,鄂尔多斯市,540.0,,,,
中原大营,蒙古连,包头市,499.0,蒙古连,238.0,10%,6人
中原大营,洛阳连,襄阳市,488.0,,,,
中原大营,皖北连,淮北市,473.0,,,,
中原大营,冀西连,保定市,470.0,,,,
中原大营,冀西连,阳泉市,467.0,,,,
中原大营,洛阳连,临汾市,461.0,,,,
中原大营,豫北加强连,长治市,451.0,,,,
中原大营,中原直辖连,驻马店市,449.0,中原直辖连,913.0,30%,8人
中原大营,皖北连,亳州市,448.0,,,,
中原大营,洛阳连,洛阳市,440.0,洛阳连,412.0,12%,6人
中原大营,洛阳连,三门峡市,431.0,,,,
中原大营,蒙古连,乌海市,355.0,,,,
中原大营,中原直辖连,漯河市,340.0,,,,
中原大营,中原直辖连,平顶山市,335.0,,,,
中原大营,豫北加强连,鹤壁市,307.0,,,,
中原大营,皖北连,六安市,304.0,,,,
中原大营,冀西连,忻州市,300.0,,,,
中原大营,中原直辖连,许昌市,276.0,,,,
中原大营,豫北加强连,开封市,267.0,,,,
中原大营,蒙古连,乌兰察布市,198.0,,,,
中原大营,豫北加强连,济源市,179.0,,,,
中原大营,蒙古连,呼和浩特市,169.0,,,,
中原大营,皖北连,淮南市,104.0,,,,
中原大营,冀西连,延安市,99.0,,,,
中原大营,洛阳连,十堰市,54.0,,,,
中原大营,皖北连,信阳市,43.0,,,,
中原大营,洛阳连,随州市,39.0,,,,
中原大营,蒙古连,阿拉善盟,28.0,,,,
