营部,区划连队,城市,市场容量,圆点连队,销量,市占率,人数,26年年度预算
向西大营,关陇连,阿里地区,0.0,,,,,
向西大营,关陇连,安康市,48.0,,,,,
向西大营,关陇连,白银市,398.0,,,,,
向西大营,关陇连,宝鸡市,129.0,,,,,
向西大营,关陇连,昌都市,15.0,,,,,
向西大营,关陇连,定西市,19.0,,,,,
向西大营,关陇连,甘南藏族自治州,0.0,,,,,
向西大营,关陇连,海北藏族自治州,3.0,,,,,
向西大营,关陇连,海东市,23.0,,,,,
向西大营,关陇连,海南藏族自治州,7.0,,,,,
向西大营,关陇连,海西蒙古族藏族自治州,204.0,,,,,
向西大营,关陇连,黄南藏族自治州,2.0,,,,,
向西大营,关陇连,拉萨市,42.0,,,,,
向西大营,关陇连,兰州市,211.0,,,,,
向西大营,关陇连,林芝市,28.0,,,,,
向西大营,关陇连,临夏回族自治州,19.0,,,,,
向西大营,关陇连,陇南市,31.0,,,,,
向西大营,关陇连,那曲市,8.0,,,,,
向西大营,关陇连,平凉市,194.0,,,,,
向西大营,关陇连,庆阳市,19.0,,,,,
向西大营,关陇连,日喀则市,137.0,,,,,
向西大营,关陇连,山南市,53.0,,,,,
向西大营,关陇连,商洛市,16.0,,,,,
向西大营,关陇连,天水市,8.0,,,,,
向西大营,关陇连,铜川市,295.0,,,,,
向西大营,关陇连,渭南市,557.0,,,,,
向西大营,关陇连,西安市,761.0,关陇连,204.0,13%,7人,1200
向西大营,关陇连,西宁市,335.0,,,,,
向西大营,关陇连,咸阳市,391.0,,,,,
向西大营,关陇连,玉树藏族自治州,0.0,,,,,
向西大营,河西哈密连,哈密市,1329.0,河西哈密连,42.0,6%,3人,300
向西大营,河西哈密连,嘉峪关市,27.0,,,,,
向西大营,河西哈密连,金昌市,85.0,,,,,
向西大营,河西哈密连,酒泉市,119.0,,,,,
向西大营,河西哈密连,吐鲁番市,289.0,,,,,
向西大营,河西哈密连,武威市,87.0,,,,,
向西大营,河西哈密连,张掖市,61.0,,,,,
向西大营,宁夏连,固原市,590.0,,,,,
向西大营,宁夏连,宁东区,1.0,,,,,
向西大营,宁夏连,石嘴山市,604.0,,,,,
向西大营,宁夏连,吴忠市,225.0,,,,,
向西大营,宁夏连,银川市,1364.0,宁夏连,234.0,13%,6人,1000
向西大营,宁夏连,中卫市,1091.0,,,,,
向西大营,新疆连,阿克苏地区,779.0,,,,,
向西大营,新疆连,阿拉尔市,0.0,,,,,
向西大营,新疆连,阿勒泰地区,94.0,,,,,
向西大营,新疆连,巴音郭楞蒙古自治州,397.0,,,,,
向西大营,新疆连,博尔塔拉蒙古自治州,118.0,,,,,
向西大营,新疆连,昌吉回族自治州,1189.0,,,,,
向西大营,新疆连,和田地区,282.0,,,,,
向西大营,新疆连,喀什地区,810.0,,,,,
向西大营,新疆连,克拉玛依市,124.0,,,,,
向西大营,新疆连,克孜勒苏柯尔克孜自治州,339.0,,,,,
向西大营,新疆连,石河子市,0.0,,,,,
向西大营,新疆连,双河市,0.0,,,,,
向西大营,新疆连,塔城地区,110.0,,,,,
向西大营,新疆连,图木舒克市,0.0,,,,,
向西大营,新疆连,乌鲁木齐市,1782.0,新疆连,261.0,12%,7人,1300
向西大营,新疆连,五家渠市,0.0,,,,,
向西大营,新疆连,新星市,0.0,,,,,
向西大营,新疆连,伊犁哈萨克自治州,747.0,,,,,
向西大营,新疆连,自治区直辖县级行政区划,749.0,,,,,
