营部,区划连队,城市,市场容量,圆点连队,销量,市占率,人数,26年年度预算
泰山大营,黑龙江连,大庆市,389.0,,,,,
泰山大营,黑龙江连,大兴安岭地区,17.0,,,,,
泰山大营,黑龙江连,哈尔滨市,1122.0,,,,,
泰山大营,黑龙江连,鹤岗市,15.0,,,,,
泰山大营,黑龙江连,黑河市,288.0,,,,,
泰山大营,黑龙江连,鸡西市,312.0,,,,,
泰山大营,黑龙江连,佳木斯市,862.0,,,,,
泰山大营,黑龙江连,牡丹江市,848.0,,,,,
泰山大营,黑龙江连,七台河市,124.0,,,,,
泰山大营,黑龙江连,齐齐哈尔市,442.0,,,,,
泰山大营,黑龙江连,双鸭山市,244.0,,,,,
泰山大营,黑龙江连,绥化市,1577.0,黑龙江连,55.0,3%,3人,500
泰山大营,黑龙江连,伊春市,76.0,,,,,
泰山大营,吉林连,白城市,187.0,,,,,
泰山大营,吉林连,白山市,102.0,,,,,
泰山大营,吉林连,吉林市,300.0,,,,,
泰山大营,吉林连,辽源市,130.0,,,,,
泰山大营,吉林连,四平市,360.0,,,,,
泰山大营,吉林连,松原市,1151.0,,,,,
泰山大营,吉林连,通化市,119.0,,,,,
泰山大营,吉林连,延边朝鲜族自治州,264.0,,,,,
泰山大营,吉林连,长春市,2421.0,吉林连,101.0,7%,3人,522
泰山大营,辽东连,鞍山市,836.0,,,,,
泰山大营,辽东连,本溪市,127.0,,,,,
泰山大营,辽东连,大连市,390.0,,,,,
泰山大营,辽东连,丹东市,201.0,,,,,
泰山大营,辽东连,抚顺市,133.0,,,,,
泰山大营,辽东连,辽阳市,224.0,,,,,
泰山大营,辽东连,营口市,1997.0,辽东连,147.0,11%,4人,672
泰山大营,蒙辽连,朝阳市,437.0,,,,,
泰山大营,蒙辽连,赤峰市,781.0,,,,,
泰山大营,蒙辽连,阜新市,141.0,,,,,
泰山大营,蒙辽连,呼伦贝尔市,349.0,,,,,
泰山大营,蒙辽连,葫芦岛市,672.0,,,,,
泰山大营,蒙辽连,锦州市,575.0,,,,,
泰山大营,蒙辽连,盘锦市,130.0,,,,,
泰山大营,蒙辽连,沈阳市,606.0,蒙辽连,103.0,7%,6人,600
泰山大营,蒙辽连,铁岭市,243.0,,,,,
泰山大营,蒙辽连,通辽市,366.0,,,,,
泰山大营,蒙辽连,锡林郭勒盟,144.0,,,,,
泰山大营,蒙辽连,兴安盟,250.0,,,,,
泰山大营,山东连,菏泽市,2762.0,,,,,
泰山大营,山东连,济南市,905.0,,,,,
泰山大营,山东连,济宁市,6412.0,山东连,456.0,7%,11人,2209
泰山大营,山东连,聊城市,3016.0,,,,,
泰山大营,山东连,青岛市,1019.0,,,,,
泰山大营,山东连,泰安市,1010.0,,,,,
泰山大营,山东连,威海市,278.0,,,,,
泰山大营,山东连,潍坊市,1546.0,,,,,
泰山大营,山东连,烟台市,793.0,,,,,
泰山大营,山东连,淄博市,633.0,,,,,
泰山大营,直隶连,北京市,1536.0,,,,,
泰山大营,直隶连,滨州市,878.0,,,,,
泰山大营,直隶连,沧州市,1475.0,,,,,
泰山大营,直隶连,承德市,931.0,,,,,
泰山大营,直隶连,德州市,888.0,,,,,
泰山大营,直隶连,东营市,214.0,,,,,
泰山大营,直隶连,衡水市,266.0,,,,,
泰山大营,直隶连,廊坊市,198.0,,,,,
泰山大营,直隶连,秦皇岛市,664.0,,,,,
泰山大营,直隶连,唐山市,6748.0,直隶连,331.0,5%,13人,1878
泰山大营,直隶连,天津市,1930.0,,,,,
泰山大营,直隶连,张家口市,1045.0,,,,,
泰山大营,辽东连,大连市,208.0,,,,,
泰山大营,山东连,青岛市,2515.0,,,,,
泰山大营,直隶连,天津市,1231.0,,,,,
