营部,区划连队,城市,市场容量,圆点连队,销量,市占率,人数,26年年度预算
西南大营,粤湘连,潮州市,38.0,,,,,
西南大营,粤湘连,东莞市,53.0,粤湘连,521.0,18%,8人,2186
西南大营,粤湘连,广州市,1412.0,,,,,
西南大营,粤湘连,惠州市,18.0,,,,,
西南大营,粤湘连,揭阳市,31.0,,,,,
西南大营,粤湘连,汕头市,35.0,,,,,
西南大营,粤湘连,汕尾市,4.0,,,,,
西南大营,粤湘连,深圳市,2585.0,,,,,
西南大营,粤湘连,省直辖县级行政区划,204.0,,,,,
西南大营,白酒连,安顺市,140.0,,,,,
西南大营,白酒连,毕节市,1316.0,,,,,
西南大营,白酒连,贵阳市,842.0,,,,,
西南大营,白酒连,六盘水市,508.0,,,,,
西南大营,白酒连,泸州市,580.0,白酒连,132.0,7%,5人,700
西南大营,白酒连,内江市,773.0,,,,,
西南大营,白酒连,黔东南苗族侗族自治州,42.0,,,,,
西南大营,白酒连,黔南布依族苗族自治州,207.0,,,,,
西南大营,白酒连,黔西南布依族苗族自治州,383.0,,,,,
西南大营,白酒连,铜仁市,13.0,,,,,
西南大营,白酒连,宜宾市,686.0,,,,,
西南大营,白酒连,昭通市,86.0,,,,,
西南大营,白酒连,自贡市,247.0,,,,,
西南大营,白酒连,遵义市,451.0,,,,,
西南大营,成都连,阿坝藏族羌族自治州,54.0,,,,,
西南大营,成都连,成都市,4050.0,成都连,294.0,8%,7人,1414
西南大营,成都连,德阳市,529.0,,,,,
西南大营,成都连,甘孜藏族自治州,2.0,,,,,
西南大营,成都连,广元市,341.0,,,,,
西南大营,成都连,汉中市,128.0,,,,,
西南大营,成都连,乐山市,1496.0,,,,,
西南大营,成都连,眉山市,296.0,,,,,
西南大营,成都连,绵阳市,1228.0,,,,,
西南大营,成都连,南充市,334.0,,,,,
西南大营,成都连,遂宁市,384.0,,,,,
西南大营,成都连,雅安市,725.0,,,,,
西南大营,成都连,资阳市,81.0,,,,,
西南大营,广西加强连,百色市,633.0,,,,,
西南大营,广西加强连,北海市,611.0,,,,,
西南大营,广西加强连,崇左市,708.0,,,,,
西南大营,广西加强连,防城港市,554.0,,,,,
西南大营,广西加强连,贵港市,1037.0,,,,,
西南大营,广西加强连,桂林市,211.0,,,,,
西南大营,广西加强连,河池市,233.0,,,,,
西南大营,广西加强连,贺州市,532.0,,,,,
西南大营,广西加强连,来宾市,235.0,,,,,
西南大营,广西加强连,柳州市,845.0,,,,,
西南大营,广西加强连,南宁市,1770.0,广西加强连,456.0,15%,7人,2100
西南大营,广西加强连,钦州市,1314.0,,,,,
西南大营,广西加强连,文山壮族苗族自治州,229.0,,,,,
西南大营,广西加强连,梧州市,703.0,,,,,
西南大营,广西加强连,玉林市,1084.0,,,,,
西南大营,烟草连,保山市,253.0,,,,,
西南大营,烟草连,楚雄彝族自治州,301.0,,,,,
西南大营,烟草连,大理白族自治州,139.0,,,,,
西南大营,烟草连,德宏傣族景颇族自治州,22.0,,,,,
西南大营,烟草连,迪庆藏族自治州,3.0,,,,,
西南大营,烟草连,红河哈尼族彝族自治州,238.0,,,,,
西南大营,烟草连,昆明市,702.0,烟草连,323.0,22%,5人,1000
西南大营,烟草连,丽江市,19.0,,,,,
西南大营,烟草连,凉山彝族自治州,269.0,,,,,
西南大营,烟草连,临沧市,13.0,,,,,
西南大营,烟草连,怒江傈僳族自治州,1.0,,,,,
西南大营,烟草连,攀枝花市,558.0,,,,,
西南大营,烟草连,普洱市,117.0,,,,,
西南大营,烟草连,曲靖市,660.0,,,,,
西南大营,烟草连,西双版纳傣族自治州,40.0,,,,,
西南大营,烟草连,玉溪市,497.0,,,,,
西南大营,粤湘连,潮州市,2.0,,,,,
西南大营,粤湘连,郴州市,667.0,,,,,
西南大营,粤湘连,儋州市,138.0,,,,,
西南大营,粤湘连,东方市,0.0,,,,,
西南大营,粤湘连,东莞市,101.0,粤湘连,521.0,18%,8人,2186
西南大营,粤湘连,佛山市,649.0,,,,,
西南大营,粤湘连,广州市,300.0,,,,,
西南大营,粤湘连,海口市,137.0,,,,,
西南大营,粤湘连,河源市,238.0,,,,,
西南大营,粤湘连,衡阳市,451.0,,,,,
西南大营,粤湘连,怀化市,149.0,,,,,
西南大营,粤湘连,惠州市,393.0,,,,,
西南大营,粤湘连,江门市,297.0,,,,,
西南大营,粤湘连,揭阳市,87.0,,,,,
西南大营,粤湘连,娄底市,700.0,,,,,
西南大营,粤湘连,茂名市,311.0,,,,,
西南大营,粤湘连,梅州市,886.0,,,,,
西南大营,粤湘连,清远市,565.0,,,,,
西南大营,粤湘连,琼海市,0.0,,,,,
西南大营,粤湘连,三亚市,21.0,,,,,
西南大营,粤湘连,汕头市,50.0,,,,,
西南大营,粤湘连,汕尾市,17.0,,,,,
西南大营,粤湘连,韶关市,370.0,,,,,
西南大营,粤湘连,邵阳市,197.0,,,,,
西南大营,粤湘连,深圳市,409.0,,,,,
西南大营,粤湘连,省直辖县级行政区划,61.0,,,,,
西南大营,粤湘连,万宁市,0.0,,,,,
西南大营,粤湘连,文昌市,0.0,,,,,
西南大营,粤湘连,湘潭市,183.0,,,,,
西南大营,粤湘连,湘西土家族苗族自治州,47.0,,,,,
西南大营,粤湘连,阳江市,386.0,,,,,
西南大营,粤湘连,永州市,293.0,,,,,
西南大营,粤湘连,云浮市,1039.0,,,,,
西南大营,粤湘连,湛江市,359.0,,,,,
西南大营,粤湘连,长沙市,838.0,,,,,
西南大营,粤湘连,肇庆市,145.0,,,,,
西南大营,粤湘连,中山市,49.0,,,,,
西南大营,粤湘连,珠海市,117.0,,,,,
西南大营,粤湘连,株洲市,185.0,,,,,
西南大营,河内连,越南,0.0,河内连,1360.0,,8人,4687
