营部,区划连队,城市,市场容量,圆点连队,销量,市占率,人数
西南大营,成都连,成都市,2999.0,成都连,987.0,14%,7人
西南大营,粤湘连,深圳市,2732.0,,,,
西南大营,粤湘连,广州市,1353.0,,,,
西南大营,广西加强连,南宁市,1210.0,广西加强连,1255.0,19%,7人
西南大营,白酒连,毕节市,1155.0,,,,
西南大营,广西加强连,钦州市,1102.0,,,,
西南大营,成都连,绵阳市,1094.0,,,,
西南大营,成都连,乐山市,1091.0,,,,
西南大营,粤湘连,长沙市,750.0,,,,
西南大营,白酒连,贵阳市,733.0,,,,
西南大营,成都连,雅安市,677.0,,,,
西南大营,粤湘连,娄底市,663.0,,,,
西南大营,广西加强连,崇左市,584.0,,,,
西南大营,广西加强连,柳州市,572.0,,,,
西南大营,白酒连,内江市,563.0,,,,
西南大营,广西加强连,防城港市,491.0,,,,
西南大营,烟草连,昆明市,452.0,烟草连,650.0,26%,5人
西南大营,烟草连,曲靖市,443.0,,,,
西南大营,白酒连,宜宾市,439.0,,,,
西南大营,烟草连,攀枝花市,435.0,,,,
西南大营,广西加强连,百色市,414.0,,,,
西南大营,白酒连,泸州市,406.0,白酒连,438.0,9%,5人
西南大营,广西加强连,玉林市,402.0,,,,
西南大营,粤湘连,郴州市,401.0,,,,
西南大营,白酒连,六盘水市,399.0,,,,
西南大营,成都连,德阳市,398.0,,,,
西南大营,广西加强连,贵港市,381.0,,,,
西南大营,粤湘连,衡阳市,379.0,,,,
西南大营,粤湘连,佛山市,378.0,,,,
西南大营,粤湘连,清远市,370.0,,,,
西南大营,广西加强连,梧州市,363.0,,,,
西南大营,粤湘连,惠州市,359.0,,,,
西南大营,成都连,遂宁市,326.0,,,,
西南大营,广西加强连,北海市,322.0,,,,
西南大营,白酒连,遵义市,308.0,,,,
西南大营,广西加强连,贺州市,307.0,,,,
西南大营,烟草连,玉溪市,302.0,,,,
西南大营,白酒连,黔西南布依族苗族自治州,280.0,,,,
西南大营,成都连,南充市,259.0,,,,
西南大营,粤湘连,湛江市,236.0,,,,
西南大营,粤湘连,永州市,234.0,,,,
西南大营,粤湘连,云浮市,215.0,,,,
西南大营,烟草连,保山市,193.0,,,,
西南大营,广西加强连,来宾市,190.0,,,,
西南大营,白酒连,自贡市,185.0,,,,
西南大营,粤湘连,韶关市,178.0,,,,
西南大营,粤湘连,省直辖县级行政区划,175.0,,,,
西南大营,粤湘连,广州市,175.0,,,,
西南大营,广西加强连,河池市,171.0,,,,
西南大营,粤湘连,株洲市,166.0,,,,
西南大营,粤湘连,河源市,161.0,,,,
西南大营,粤湘连,茂名市,160.0,,,,
西南大营,粤湘连,邵阳市,147.0,,,,
西南大营,烟草连,凉山彝族自治州,144.0,,,,
西南大营,成都连,眉山市,143.0,,,,
西南大营,广西加强连,桂林市,138.0,,,,
西南大营,粤湘连,江门市,138.0,,,,
西南大营,白酒连,安顺市,133.0,,,,
西南大营,烟草连,楚雄彝族自治州,131.0,,,,
西南大营,粤湘连,湘潭市,130.0,,,,
西南大营,粤湘连,梅州市,127.0,,,,
西南大营,白酒连,黔南布依族苗族自治州,126.0,,,,
西南大营,粤湘连,怀化市,125.0,,,,
西南大营,成都连,汉中市,121.0,,,,
西南大营,成都连,广元市,120.0,,,,
西南大营,粤湘连,肇庆市,114.0,,,,
西南大营,烟草连,红河哈尼族彝族自治州,102.0,,,,
西南大营,烟草连,普洱市,100.0,,,,
西南大营,烟草连,大理白族自治州,88.0,,,,
西南大营,粤湘连,儋州市,71.0,,,,
西南大营,广西加强连,文山壮族苗族自治州,70.0,,,,
西南大营,白酒连,昭通市,61.0,,,,
西南大营,粤湘连,东莞市,111.0,粤湘连,1306.0,21%,8人
西南大营,粤湘连,海口市,56.0,,,,
西南大营,粤湘连,阳江市,48.0,,,,
西南大营,成都连,资阳市,46.0,,,,
西南大营,粤湘连,湘西土家族苗族自治州,44.0,,,,
西南大营,烟草连,西双版纳傣族自治州,40.0,,,,
西南大营,粤湘连,中山市,33.0,,,,
西南大营,粤湘连,揭阳市,31.0,,,,
西南大营,粤湘连,珠海市,30.0,,,,
西南大营,粤湘连,汕头市,27.0,,,,
西南大营,成都连,阿坝藏族羌族自治州,27.0,,,,
西南大营,白酒连,黔东南苗族侗族自治州,26.0,,,,
西南大营,粤湘连,汕头市,21.0,,,,
西南大营,粤湘连,省直辖县级行政区划,17.0,,,,
西南大营,烟草连,德宏傣族景颇族自治州,15.0,,,,
西南大营,粤湘连,惠州市,13.0,,,,
西南大营,白酒连,铜仁市,12.0,,,,
西南大营,烟草连,丽江市,11.0,,,,
西南大营,烟草连,临沧市,8.0,,,,
西南大营,粤湘连,揭阳市,7.0,,,,
西南大营,粤湘连,三亚市,7.0,,,,
西南大营,粤湘连,汕尾市,5.0,,,,
西南大营,成都连,甘孜藏族自治州,2.0,,,,
西南大营,粤湘连,汕尾市,1.0,,,,
西南大营,烟草连,迪庆藏族自治州,1.0,,,,
西南大营,烟草连,怒江傈僳族自治州,1.0,,,,
